Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section
Which district accounts for 25% of the total area of Himachal Pradesh?,Chamba,Lahaul and Spiti,Kinnaur,Kangra,B,Geography
What is the population density of Lahaul and Spiti per square kilometer?,2,5,10,15,A,Geography
"Who is the author of the book ""Lahaul a valley of Glacier""?",Moorcroft,Cunningham,Andrew Wilson,Rahul Sanskrityayan,C,History
"According to local history, who is considered the founder of the area of Lahaul Spiti?",Manu,Harshvardhan,Samudra Sen,Hiun Tsang,A,History
In which year did the Chinese traveler Hiun Tsang visit the area of Lahaul Spiti?,435 AD,535 AD,635 AD,735 AD,C,History
The Trilokinath and Mrikula Devi temples reflect which architectural style?,Pagoda style,Kashmiri style,Pyramidal style,Pent-roof style,B,Art & Culture
"According to William Moorcroft in 1820, what was the capital of Lahaul Spiti?",Keylong,Kaza,Udaipur,Tandi,D,History
Who built the Gondla Fort in Lahaul Spiti?,Bidhi Singh,Man Singh,Bahadur Shah,Zorawar Singh,B,History
Who was appointed by the British as the first Negi of the area in 1846?,Amir Chand,Bali Ram,No-No Wazir,Samudra Sen,B,Administration
In which year was Lahaul and Spiti established as a district of Punjab before merging with HP?,1941,1950,1960,1966,C,Administration
"What does the marriage term ""Ta-bhagston"" refer to in tribal society?",Love marriage,Arranged marriage,Divorce,Widow remarriage,B,Social Customs
Which term refers to the custom of a divorced man marrying another woman?,Kummai-bhagston,Ta-bhagston,Kowanchi-biah,Halda,C,Social Customs
In which month is the Gochi Festival traditionally celebrated in Keylong?,February,July,October,December,A,Festivals
Which festival is celebrated as the regional equivalent of Diwali in the Chandrabhaga area?,Ladarcha,Gochi,Pauri,Halda,D,Festivals
"Which monastery is widely known as the ""Ajanta of the Himalayas""?",Key Monastery,Guru Ghantal,Tabo Monastery,Dhankhar Monastery,C,Religious Sites
Which is considered the oldest monastery specifically in the Lahaul area?,Shashur,Guru Ghantal,Gemur,Khardang,B,Religious Sites
"Which traditional dance is also known as the ""Evil King Dance""?",Shabu Dance,Shand Dance,Lang-dar-ma Dance,Shunto Dance,C,Art & Culture
In which year did Lahauli Socks and Gloves earn a Geographical Indication (GI) tag?,2018,2019,2020,2021,D,Economy
"Which valley in the district is famously referred to as the ""Land of Jewels""?",Lahaul Valley,Spiti Valley,Pin Valley,Lingti Valley,B,Geography
The Moravian Mission of 1853 is credited with introducing which crop to the region?,Apple,Potato,Wheat,Barley,B,Economy
Who is considered the ancient founder of the Trigarta kingdom?,Susharma Chand,Bhoomi Chand,Ghamand Chand,Sansar Chand,B,Ancient History
Which ruler is credited with building the historic Kangra Fort around 1500 BC?,Bhoomi Chand,Jagdish Chand,Susharma Chand,Prthvi Chand,C,Ancient History
"During the 7th invasion of Mahmud Ghazni in 1009 AD, who was the ruler of Kangra?",Jagdish Chand,Roop Chand,Megh Chand,Dharam Chand,A,Medieval History
"Which Katoch ruler was given the title ""Nagarkotia"" by Mughal Emperor Akbar?",Bidhi Chand,Jai Chand,Dharam Chand,Manak Chand,C,Medieval History
In which year did the Battle of Mahalmorriyan take place between Sansar Chand and the Gurkhas?,1809,1805,1786,1823,B,History
The Treaty of Jawalamukhi in 1809 was signed between Maharaja Sansar Chand and which other leader?,Amar Singh Thapa,Maharaja Ranjit Singh,Jassa Singh Ramgarhiya,Jai Singh Kanhaiya,B,History
Who was appointed as the first Sikh Nizam (Governor) of Kangra in 1809?,Desa Singh Majithiya,Nawab Ali Khan,Hussain Kuli Khan,Jassa Singh Ramgarhiya,A,History
Which state was founded by Hari Chand in 1405 AD?,Jaswan,Guler,Siba,Datarpur,B,History
"Who was the first ruler of Guler to adopt the title ""Singh"" and was called ""Sher Afghan"" by Shah Jahan?",Govardhan Chand,Maan Chand,Roop Chand,Dalip Singh,B,History
"Which temple in Kangra is popularly known as the ""Ellora of Himachal""?",Baijnath Temple,Masrur Rock Cut Temple,Chamunda Devi Temple,Bajreshwari Temple,B,Culture/Art
The Masrur Rock Cut Temple was built in the 8th Century under which King of Kashmir?,Ashoka,Lalitaditya,Harsha,Kanishka,B,Culture/Art
Who is recognized as the first patron of the Kangra School of Painting?,Sansar Chand,Govardhan Chand,Ghamand Chand,Anirudh Chand,B,Art
Which master artist of the Kangra Kalam is specifically noted for his realism and intimacy in portraiture?,Manaku,Nainsukh,Shobha Singh,Nicholas Roerich,B,Art
"Which author wrote the authoritative work ""The Kangra Paintings""?",M.S. Randhawa,W.G. Archer,Thomas Coryat,Moorcroft,B,Art/Literature
In which year did Kangra Tea receive a Geographical Indication (GI) tag from India?,2005,2012,2017,2023,A,Static GK
On what exact date did the famous devastating earthquake of Kangra occur?,15 August 1947,4 April 1905,1 November 1966,26 January 1950,B,Static GK
"Who painted the famous modern works ""Heer-Ranjha"" and ""Kangra Bride""?",Nicholas Roerich,Shobha Singh,Nainsukh,Manaku,B,Art
In which year did Dharamshala officially become the winter capital of Himachal Pradesh?,1990,2005,2012,2017,D,Static GK
"Which ancient literary source refers to the Trigarta area as ""Bheemnagar""?",Tareek-ae-Yamini,Rasikapriya,Gita Govinda,Bhagavata Purana,A,History
Who was the first Sikh leader to invade the Kangra hills?,Maharaja Ranjit Singh,Jassa Singh Ramgarhiya,Jai Singh Kanhaiya,Desa Singh Majithiya,B,History
On which date was Kinnaur formed as the 6th district of Himachal Pradesh?,"May 1, 1948","May 1, 1950","May 1, 1960","May 1, 1966",C,History/Geography
What name was used for the people of Kinnaur in Kalidasaâ€™s work Kumarsambhava?,Kinners,Ashwamukhi,Khasa,Kanait,B,Ancient History
"According to the sources, what is the Tibetan name for the Kinnaur region?",Mon,Chini,Khunu,Mahanand,C,Geography/Culture
Who is considered the mythological founder of the Busheher Riyasat?,Chattar Singh,Ram Singh,Pradyumana,Padam Singh,C,History
Which ruler shifted the capital of Busheher from Kamru to Sarahan?,Ram Singh,Chattar Singh,Pradyumana,Samsher Singh,B,History
"Which Raja of Busheher was known by the titles ""Ajan-bahu"" and ""Chhatrapati""?",Mahendra Singh,Sher Singh,Khehri Singh,Padam Singh,C,History
The Hangrang Valley was gifted to Kinnaur by Tibet following which 1681 conflict?,Gorkha War,World War I,Tibeti-Ladakhi-Mughal War,Indo-China War,C,History
What is the name for the 'forceful' form of marriage historically practiced in Kinnaur?,Jane-Tang,Dam-Tang,Darosh,Jushish,C,Social Customs
"In Kinnauri death ceremonies, what is the term used if the body is disposed of by drowning?",Fukant,Bhakant,Dubant,Dheri,C,Rituals
"The Raulane festival is celebrated to honor 'Sauni', which are believed to be what?",Mountain Fairies,Evil Spirits,Village Elders,Kings,A,Festivals
"During the Raulane ritual, what is the name of the dagger carried by the 'Raula' for protection?",Gachchi,Rakkas,Doru,Bithri,B,Rituals
Which of these is a type of silver ancestral jewelry passed down in Kinnauri families?,Thepang,Daglo,Fasul,Gachchi,B,Culture
The 800-year-old Sangla Holi is also known by which local name?,Phagli,Raulane,Sazo,Losar,A,Festivals
What is the name of the local wine shared among villagers to show unity during Sangla Holi?,Totu,Fasul,Sattu,Gulaal,B,Culture
Which traditional dance of Kinnaur is specifically performed by Buddhist monks (Lamas)?,Kayang,Japro,Chhamb,Shon,C,Dance
"Apart from apples, Kinnaur is famous for the cultivation of which specific crop?",Saffron,Tea,Coffee,Cardamom,A,Economy
Through which mountain pass does the River Satluj enter Himachal Pradesh from Tibet?,Rohtang La,Shipki La,Baralacha La,Kunzum La,B,Geography
Which village is recognized as the last village of Kinnaur in the Sangla Valley?,Kalpa,Reckong Peo,Chitkul,Chango,C,Geography
In which year did the Kinnauri Shawl receive the Geographical Indication (GI) tag?,2005,2008,2010,2012,B,Economy
Who is the author of the book Music of Kinnaur?,HC Vajpayee,EA Chouhan,Kalidasa,Tikka Ram,B,Literature
Who founded the state of Chamba in 550 AD?,Meru Verman,Maru Verman,Sahil Verman,Aditya Verman,B,Ancient History
Which ruler shifted the capital from Bharmour to Champa Nagar in 930 AD?,Mushan Verman,Ajay Verman,Sahil Verman,Yugankar Verman,C,Ancient History
Who was the famous sculptor of Meru Verman responsible for temples like Lakshanadevi?,Nikka,Gugga,Harku,Ranjha,B,Ancient History
Which ruler of Chamba was known as 'Balikaran' due to his charitable nature?,Janardan,Pratap Singh,Bal Bhadra,Prithvi Singh,C,Medieval History
The Battle of Dahlog resulted in Chamba coming under the control of which ruler?,Jagat Singh,Suraj Mal,Sansar Chand,Gulab Singh,A,Medieval History
Which ruler of Chamba was the first to adopt the title 'Singh'?,Aditya Verman,Ganesh Verman,Umed Singh,Raj Singh,B,Ancient History
Which Wazir successfully prevented the merger of Chamba into Kashmir during the Treaty of Amritsar (1846)?,Wazir Nathu,Wazir Bhaga,Wazir Ram Singh,Wazir Parasram,B,Modern History
In which year was Chamba town electrified during the reign of Raja Bhuri Singh?,1900,1905,1908,1910,D,Modern History
"Which festival in Chamba is celebrated exclusively for women and children to honor Rani Sunaina Devi?,",Minjar Fair,Suhi Fair,Phul Yatra,Lishoo Fair,B,Culture/Festivals
The Shakti Devi temple in Chhatrari features which specific architectural style?,Nagara style,Pagoda style,Pent-roofed style,Pyramidal style,C,Architecture
Which famous painter was associated with the court of Raja Raj Singh?,Nikka,Gugga,Wazir Nathu,Major Blair Reed,A,Art/Modern History
On which date did Chamba officially merge to become a district of Himachal Pradesh?,15 August 1947,26 January 1950,8 March 1948,1 November 1966,C,Modern History
Which of the following dance forms is specifically performed by the Gaddi Tribe?,Deepak Dance,Dandras Dance,Jhanjar Dance,Drati Dance,B,Culture/Dance
Which king refused the orders of Mughal Emperor Aurangzeb to destroy Hindu idols?,Prithvi Singh,Chattar Singh,Umed Singh,Shri Singh,B,Medieval History
The international 'Minjar Fair' of Chamba was started by which ruler in the 10th century?,Meru Verman,Sahil Verman,Yugankar Verman,Laxman Singh,B,Culture/Festivals
Which region of Chamba was historically known as the 'Place of Banishment' for political offenders?,Bharmour,Bhattiyat,Pangi,Churah,C,Geography/History
In which year did the Chamba Chappal receive the Geographical Indication (GI) tag?,2018,2019,2020,2021,D,Culture/Economy
Who built the Gauri Shankar Temple in Chamba?,Sahil Verman,Yugankar Verman,Tribhuvan Rekha Devi,Meru Verman,B,Architecture
Which lake is located within the Chamba district?,Rewalsar Lake,Lama Lake,Renuka Lake,Brighu Lake,B,Geography
The Baira Hydroelectric Project is constructed on which river?,Beas,Chenab,Ravi,Yamuna,C,Geography/Economy
The Lakshminarayan Temple in Chamba is built in which architectural style?,Shikhara,Pagoda,Dome,Pent Roof,A,Art & Architecture
To which architectural category does the Hadimba Temple of Kullu belong?,Shikhara,Pagoda,Flat Roof,Pyramidal,B,Art & Architecture
The Jawalamukhi Temple in Kangra features which of the following styles?,Pent Roof,Shikhara,Dome,Pagoda,C,Art & Architecture
The Hateshwari Temple in Shimla is a prominent example of which style?,Pyramidal,Flat Roof,Dome,Shikhara,A,Art & Architecture
Bijli Mahadev Temple in Kullu is constructed in which architectural style?,Pagoda,Pent Roof,Pyramidal,Shikhara,B,Art & Architecture
Which style is represented by the Narvadeshwar Temple in Sujanpur?,Dome,Shikhara,Flat Roof,Pagoda,C,Art & Architecture
The Parashar Temple in Mandi follows which architectural pattern?,Pagoda,Pent Roof,Pyramidal,Flat Roof,A,Art & Architecture
The rock-cut Thakurdwara Temple at Masroor is classified under which style?,Dome,Shikhara,Pagoda,Pent Roof,B,Art & Architecture
The Chintpurni Temple in Una district is built in which style?,Shikhara,Pent Roof,Dome,Pyramidal,C,Art & Architecture
Lakshana Devi Temple in Chamba follows which specific roof style?,Pent Roof,Pagoda,Flat Roof,Shikhara,A,Art & Architecture
The Vaidyanath Temple in Baijnath is an example of which style?,Pyramidal,Shikhara,Dome,Pagoda,B,Art & Architecture
Which architectural style is seen in the Chaugaon Temple of Kinnaur?,Shikhara,Pent Roof,Pagoda,Dome,C,Art & Architecture
The Naina Devi Temple in Bilaspur is constructed in which style?,Dome,Pyramidal,Shikhara,Flat Roof,A,Art & Architecture
The Shiva Temple located in Jubbal belongs to which architectural category?,Pagoda,Pyramidal,Pent Roof,Dome,B,Art & Architecture
Marikula Devi Temple in Udaipur (Lahaul & Spiti) is built in which style?,Shikhara,Flat Roof,Pent Roof,Pagoda,C,Art & Architecture
The Brajraj Temple in Nurpur is an example of which style?,Flat Roof,Dome,Pyramidal,Shikhara,A,Art & Architecture
The Manu Temple in Kullu follows which architectural style?,Pent Roof,Pagoda,Shikhara,Dome,B,Art & Architecture
Bijaura Temple in the Kullu region is classified as which style?,Pagoda,Dome,Shikhara,Pyramidal,C,Art & Architecture
Maheswar Temple in Kinnaur is built in which distinctive style?,Pagoda,Pent Roof,Flat Roof,Shikhara,A,Art & Architecture
The Shakti Devi Temple in Chamba is an example of which architecture?,Dome,Pent Roof,Shikhara,Pyramidal,B,Art & Architecture
"Who is the author of the book ""Indian Painting from Punjab hills""?",BC Chhabra,WG Archer,OC Handa,MS Randhawa,B,Literature
"""Antiquities of Chamba State (Part 2)"" was written by which author?",JP Vogel,Hermen Goetz,BC Chhabra,Daleep Chakravarti,C,Literature
"Who wrote the book ""Bilaspur ki Kahani""?",Akshar Singh,Anand Chand,Shanta Kumar,YS Parmar,A,Literature
"Which author wrote ""Shimla Past and Present""?",LC Pandey,JC Franck,Edward Buck,Prem Pakhrolvi,C,Literature
"Who is the author of ""Abode of Light""?",Nicholes Roare,Chandradhar Guleri,MS Randhawa,Lempel Grift,A,Literature
"The famous work ""Usne kaha tha"" was written by?",Prem Pakhrolvi,Chandradhar Guleri,LC Pandey,BC Chhabra,B,Literature
"""Polyandry in the Himalayas"" is authored by which personality?",Manmohan Singh,Harish Kapadia,YS Parmar,Kanwar Ranzor Singh,C,Literature
"Who wrote ""Himalaya Par Lal Chhaya""?",Shanta Kumar,YS Parmar,Akshar Singh,MS Randhawa,A,Literature
"""Tarikh-i-Riyasat Sirmour"" was written by which author?",Raja Rasaloo,Kanwar Ranzor Singh,Manmohan Singh,JP Vogel,B,Literature
"Who are the authors of ""History of the Punjab Hill States""?",J Hutchinson and JP Vogel,WG Archer and MS Randhawa,BC Chhabra and OC Handa,LC Pandey and JC Franck,A,Literature
"""The Early Wooden Temples of Chamba"" is a work by?",Mia Govardhan,Hermen Goetz,Daleep Chakravarti,Akshar Singh,B,Literature
"Who is the author of ""Basholi Painting""?",Lempel Grift,MS Randhawa,Nicholes Roare,Edward Buck,B,Literature
"Who wrote the ""History of Mandi State""?",Manmohan Singh,YS Parmar,Harish Kapadia,Kanwar Ranzor Singh,A,Literature
"""Dharti Balidan Ki"" was written by which Himachal author?",Shanta Kumar,Chandradhar Guleri,Akshar Singh,Prem Pakhrolvi,A,Literature
"""Bilaspur past, present and future"" is authored by?",Akshar Singh,Anand Chand,WG Archer,BC Chhabra,B,Literature
"Who is the author of ""Prachin Himachal and Kulut Desh""?",Prem Pakhrolvi,LC Pandey,JC Franck,Lempel Grift,B,Literature
"""Himalayan Art"" is a book written by?",JC Franck,Edward Buck,Nicholes Roare,MS Randhawa,A,Literature
"According to the records, who was the founder of Sirmour in 1139?",Raja Rasaloo,Kanwar Ranzor Singh,Manmohan Singh,Anand Chand,A,History
"Who wrote ""Antiquities of Kangra State""?",Daleep Chakravarti,BC Chhabra,OC Handa,Mia Govardhan,A,Literature
"""Buddhist Art and Antiquities of Himachal Pradesh"" is a work by?",OC Handa,WG Archer,Hermen Goetz,MS Randhawa,A,Literature